model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
logistic,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9084054834054832,0.8181277056277058,0.9685637626262626,11,11
random_forest,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9037518037518038,0.8144191919191918,0.96271645021645,11,11
rbf_svm,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9052128427128427,0.815566378066378,0.963924963924964,11,11
hist_gradient_boosting,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.8934613997113996,0.8042207792207794,0.953062996031746,11,11
mlp,top,single_view,rgb,0.01,1.0,0.6539888682745826,balanced_accuracy,0.9116522366522364,0.8213744588744589,0.9692279942279942,11,11
logistic,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.901461038961039,0.8114835858585858,0.961133658008658,11,11
random_forest,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9095238095238096,0.8612914862914863,0.9541666666666668,11,11
rbf_svm,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9066919191919192,0.8181786616161617,0.9652777777777778,11,11
hist_gradient_boosting,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.896897546897547,0.8443118686868686,0.943681231962482,11,11
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,balanced_accuracy,0.9012536075036076,0.8126242334054834,0.9609246482683984,11,11
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9447420634920636,0.9157435966810968,0.973169191919192,11,11
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9447420634920636,0.9179511634199136,0.9703330176767676,11,11
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9485299422799424,0.92747113997114,0.9688866341991342,11,11
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.8947781385281387,0.8038690476190475,0.95864898989899,11,11
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,balanced_accuracy,0.9478084415584416,0.9229342532467532,0.9731748286435786,11,11
logistic,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.919761640798226,0.8692486988790343,0.9624368686868686,11,11
random_forest,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9380142892338014,0.906023843619118,0.968560837028825,11,11
rbf_svm,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9209657551120966,0.8788060482877555,0.9606123737373738,11,11
hist_gradient_boosting,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9287678615422515,0.8886383653609263,0.9633901515151516,11,11
mlp,left_close,single_view,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9355506282335552,0.8941469573786647,0.9712121212121212,11,11
logistic,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9615620490620492,0.9407828282828284,0.9815128968253968,11,11
random_forest,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.956511544011544,0.9325392316017314,0.9802502705627708,11,11
rbf_svm,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9653138528138528,0.9420454545454546,0.9867424242424244,11,11
hist_gradient_boosting,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9533306085167788,0.9252848872463234,0.9798430735930737,11,11
mlp,front,single_view,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.96133658008658,0.9384911616161616,0.9828282828282828,11,11
logistic,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8672519841269841,0.7522063492063492,0.9538509424603177,10,10
random_forest,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.9072222222222224,0.8395833333333333,0.9586111111111112,10,10
rbf_svm,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8337698412698412,0.6779747023809524,0.9530753968253968,10,10
hist_gradient_boosting,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8808333333333334,0.8100694444444445,0.9412569444444444,10,10
mlp,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8837301587301587,0.7871527777777778,0.9486123511904764,10,10
logistic,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9167658730158732,0.8511427895021644,0.9616265331890332,11,11
random_forest,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.940458152958153,0.9191314935064936,0.962689393939394,11,11
rbf_svm,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9495129870129873,0.9281290584415584,0.9708694083694084,11,11
hist_gradient_boosting,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9306863275613276,0.908206507034632,0.9522411616161616,11,11
mlp,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9498466810966812,0.9282541937229436,0.9720328282828284,11,11
logistic,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9430099184617258,0.9127871619051966,0.9697285353535352,11,11
random_forest,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9370945904831448,0.9007384747322624,0.9666982323232324,11,11
rbf_svm,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9399259918461724,0.9139423318273092,0.9654703282828282,11,11
hist_gradient_boosting,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9385340604843616,0.9059465608646712,0.9655942234848484,11,11
mlp,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9189082085919434,0.8669759815778266,0.9599124053030303,11,11
logistic,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.936799360562037,0.9009346371020356,0.9673981051040712,11,11
random_forest,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9472035747429628,0.9259623150343224,0.9675850815249863,11,11
rbf_svm,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9506936060471916,0.9301756871923084,0.970780723905724,11,11
